id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),173799,0.56,0.555,0.68,0,0.116,0.319,-7.648,0.321,89.391,6,4,Happy
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,203417,0.596,0.0169,0.854,0,0.124,0.152,-5.114,0.463,120.274,7,4,Happy
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,Happier,214289,0.687,0.191,0.792,0,0.167,0.671,-2.749,0.0452,100.015,5,4,Happy
3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,Rise,Rise,194407,0.69,0.323,0.784,0,0.203,0.669,-4.653,0.032,106.066,1,4,Happy
3pWcj8hxj3fsb9TDAcMpEl,The Chainsmokers,Sick Boy,Somebody,223146,0.532,0.186,0.616,0,0.0928,0.292,-7.074,0.0328,101.883,10,4,Happy
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,Pray for the Wicked,High Hopes,190946,0.579,0.193,0.904,0,0.064,0.681,-2.729,0.0618,82.014,5,4,Happy
18W92Zm1KjLCbUIszOhpkD,NOTD,I Wanna Know (feat. Bea Miller),I Wanna Know (feat. Bea Miller),197938,0.661,0.0253,0.725,0,0.123,0.605,-4.859,0.0563,119.927,6,4,Happy
0kHyKhJMukHEPfeh8s7rdM,Kygo,Born To Be Yours,Born To Be Yours,193320,0.688,0.3,0.688,0,0.0982,0.451,-5.84,0.0357,114.011,3,4,Happy
3DGar7krWlmrXRFHBcQF6z,Kris Kross Amsterdam,Whenever (feat. Conor Maynard),Whenever (feat. Conor Maynard),163636,0.734,0.151,0.765,0,0.231,0.518,-5.562,0.0621,109.989,7,4,Happy
3T4UodGkfZObJ43RtA5KFU,OneRepublic,Connection,Connection,148459,0.611,0.000837,0.602,0,0.112,0.624,-4.89,0.0437,168.154,5,4,Happy
07ipXN6CNTw34qwSYePKpg,PRETTYMUCH,Summer on You,Summer on You,205791,0.811,0.636,0.447,0,0.462,0.694,-6.55,0.0414,99.995,4,4,Happy
2Yer0p7uB2lVBUAtANuuQp,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),164640,0.769,0.66,0.479,0,0.0914,0.803,-5.339,0.0385,96.051,1,4,Happy
5N5k9nd479b1xpDZ4usjrg,Calvin Harris,Promises (with Sam Smith),Promises (with Sam Smith),213309,0.781,0.0119,0.768,4.91E-06,0.325,0.486,-5.991,0.0394,123.07,11,4,Happy
3nc420PXjTdBV5TN0gCFkS,Martin Garrix,Ocean (feat. Khalid),Ocean (feat. Khalid),216419,0.506,0.584,0.693,9.58E-05,0.0891,0.221,-7.265,0.0412,139.912,0,4,Happy
0uSGTaHms9ceAxb7L6VLrU,Dan + Shay,All To Myself,All To Myself,169612,0.651,0.23,0.782,0,0.139,0.619,-4.622,0.0303,94.94,1,4,Happy
0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,In My Mind,184560,0.694,0.176,0.77,1.10E-05,0.118,0.163,-5.335,0.149,125.905,6,4,Happy
0p0ljM6RxgpGt7wthGqBZa,Cash Cash,Finest Hour (feat. Abir),Finest Hour (feat. Abir),215781,0.656,0.0789,0.729,0,0.133,0.438,-4.223,0.0765,95.974,5,4,Happy
2lYTJK94hb0fd1LQtb6Dhk,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),Don't Leave Me Alone (feat. Anne-Marie),183750,0.659,0.118,0.738,0,0.115,0.481,-5.072,0.0477,127.95,4,4,Happy
4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),180000,0.638,0.346,0.717,0,0.105,0.249,-4.722,0.0337,100.027,2,4,Happy
59D6pNWyn8UXPpos5fbAqm,Sigala,We Don't Care,We Don't Care,207429,0.423,0.0316,0.857,0,0.0555,0.655,-3.441,0.275,180.01,10,4,Happy
4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Natural,Natural,189466,0.448,0.216,0.612,0,0.08,0.213,-6.106,0.0708,97.773,2,4,Happy
1u0MAhOBrWIkAKOf8ssiaU,FTampa,Who We Are,Who We Are,190819,0.698,0.229,0.679,0,0.0938,0.455,-4.086,0.0481,122.042,10,4,Happy
0iwsQWgtjSq2kUXuZwTDAL,Madison Beer,As She Pleases,Home with You,190576,0.631,0.067,0.599,0,0.0952,0.727,-6.137,0.0878,170.122,7,4,Happy
4ut5G4rgB1ClpMTMfjoIuy,Martin Garrix,High On Life (feat. Bonn),High On Life (feat. Bonn),230761,0.414,0.0129,0.486,0,0.111,0.368,-6.431,0.0311,128.038,6,4,Happy
4ofwffwvvnbSkrMSCKQDaC,George Ezra,Staying at Tamara's,Shotgun,201287,0.673,0.286,0.735,0,0.242,0.754,-4.733,0.0457,115.744,5,4,Happy
4ABdTWafMCXfATpILRuZFW,DVBBS,IDWK,IDWK,179999,0.717,0.00271,0.847,1.04E-06,0.11,0.414,-6.159,0.0353,114.996,1,4,Happy
4QVS8YCpK71R4FsxSMCjhP,Gryffin,Tie Me Down (with Elley Duhé),Tie Me Down (with Elley Duhé),218295,0.548,0.135,0.839,0,0.102,0.314,-2.371,0.0644,98.932,6,4,Happy
2VzptcZn9zNQX5JNgdRIKL,Jocelyn Alice,Still Wondering,Still Wondering,175615,0.518,0.122,0.795,0,0.291,0.513,-4.286,0.0382,106.979,0,3,Happy
15fZrZhdK0g1BS9sDeW6sD,Loud Luxury,Love No More,Love No More,168635,0.767,0.0221,0.678,4.82E-05,0.258,0.217,-6.249,0.054,121.01,0,4,Happy
79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,199440,0.857,0.381,0.8,0,0.0913,0.966,-4.035,0.0583,121.996,2,4,Happy
76t5B0ttSAje5KHmQbv88t,Shawn Mendes,Illuminate (Deluxe),Treat You Better,187973,0.683,0.107,0.797,0,0.114,0.758,-4.085,0.246,82.916,10,4,Happy
21YnmkSDhUkmkkni22Svc4,Shawn Mendes,Shawn Mendes,In My Blood,211360,0.622,0.0582,0.709,0,0.126,0.488,-7.32,0.0669,140.018,5,4,Happy
3OalxlWH0v14kyBcNBMINt,Shawn Mendes,Illuminate (Deluxe),Mercy,208733,0.562,0.113,0.681,0,0.11,0.357,-4.934,0.0871,148.064,11,4,Happy
1WP1r7fuvRqZRnUaTi2I1Q,Shawn Mendes,Handwritten (Deluxe),Stitches,206880,0.746,0.0152,0.754,0,0.0486,0.764,-6.681,0.067,149.882,1,4,Happy
2ZNowcE7ehJYEkChoRjSx0,Shawn Mendes,Handwritten (Deluxe),Life Of The Party,214533,0.667,0.0663,0.614,0,0.111,0.161,-4.995,0.0314,113.979,10,4,Happy
0CgTuGTVzwPDd8o2rWH6DE,Shawn Mendes,Handwritten (Deluxe),Imagination,217773,0.481,0.0743,0.455,0,0.0694,0.333,-5.942,0.0286,179.468,0,4,Happy
59uAvq0IeWRGkCJAki11ve,Shawn Mendes,Handwritten (Deluxe),Something Big,161440,0.694,0.00614,0.854,0,0.158,0.803,-3.891,0.043,112.007,7,4,Happy
3UD3HNtCYunRSbogkXPVYh,Shawn Mendes,Illuminate (Deluxe),Patience,175253,0.693,0.112,0.566,0,0.112,0.427,-6.42,0.0755,90.06,3,4,Happy
